planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
2MASS J20011977+4459100 b,Aschwaden Prediction,12.84127067,0.109632942,2MASS J20011977+4459100,11.57451405,6432.0,24949.97293,K03741.02,4 to 3,0.002005369,Not in HZ,0.03238752711115292,0.04091521183540182,0.07116530506027627,0.0750612968502921,1.9117835396841423,1.1979113754548505,0.39596579027948614,0.3559280129336481
2MASS J20011977+4459100 c,Aschwaden Prediction,24.0773825,0.166702425,2MASS J20011977+4459100,11.57451405,6432.0,24949.97293,K03741.02,5 to 2,0.002005369,Not in HZ,0.03238752711115292,0.04091521183540182,0.07116530506027627,0.0750612968502921,1.9117835396841423,1.1979113754548505,0.39596579027948614,0.3559280129336481
2MASS J20011977+4459100 b,Aschwaden Prediction,28.892859,0.188247586,2MASS J20011977+4459100,11.57451405,6432.0,24949.97293,K03741.02,3 to 1,0.002005369,Not in HZ,0.03238752711115292,0.04091521183540182,0.07116530506027627,0.0750612968502921,1.9117835396841423,1.1979113754548505,0.39596579027948614,0.3559280129336481
2MASS J20033659+4436453 b,Aschwaden Prediction,38.4802828,0.203663555,2MASS J20033659+4436453,11.57451405,5243.0,24949.97293,K06182.01,2 to 1,0.002005369,Not in HZ,0.034752812822317874,0.04388738534001442,0.07869738525024868,0.083005876312181,1.6604063078495015,1.041153782953733,0.3237976489731042,0.2910560421172933
2MASS J20033659+4436453 c,Aschwaden Prediction,28.8602121,0.16812056,2MASS J20033659+4436453,11.57451405,5243.0,24949.97293,K06182.01,3 to 2,0.002005369,Not in HZ,0.034752812822317874,0.04388738534001442,0.07869738525024868,0.083005876312181,1.6604063078495015,1.041153782953733,0.3237976489731042,0.2910560421172933
2MASS J20033659+4436453 b,Aschwaden Prediction,32.06690233,0.180354018,2MASS J20033659+4436453,11.57451405,5243.0,24949.97293,K06182.01,5 to 3,0.002005369,Not in HZ,0.034752812822317874,0.04388738534001442,0.07869738525024868,0.083005876312181,1.6604063078495015,1.041153782953733,0.3237976489731042,0.2910560421172933
2MASS J20033659+4436453 c,Aschwaden Prediction,24.05017675,0.148878962,2MASS J20033659+4436453,11.57451405,5243.0,24949.97293,K06182.01,5 to 4,0.002005369,Not in HZ,0.034752812822317874,0.04388738534001442,0.07869738525024868,0.083005876312181,1.6604063078495015,1.041153782953733,0.3237976489731042,0.2910560421172933
2MASS J20033659+4436453 b,Aschwaden Prediction,25.65352187,0.155424381,2MASS J20033659+4436453,11.57451405,5243.0,24949.97293,K06182.01,4 to 3,0.002005369,Not in HZ,0.034752812822317874,0.04388738534001442,0.07869738525024868,0.083005876312181,1.6604063078495015,1.041153782953733,0.3237976489731042,0.2910560421172933
2MASS J20033659+4436453 c,Aschwaden Prediction,48.1003535,0.236330621,2MASS J20033659+4436453,11.57451405,5243.0,24949.97293,K06182.01,5 to 2,0.002005369,Not in HZ,0.034752812822317874,0.04388738534001442,0.07869738525024868,0.083005876312181,1.6604063078495015,1.041153782953733,0.3237976489731042,0.2910560421172933
2MASS J20033659+4436453 b,Aschwaden Prediction,57.7204242,0.266874754,2MASS J20033659+4436453,11.57451405,5243.0,24949.97293,K06182.01,3 to 1,0.002005369,Not in HZ,0.034752812822317874,0.04388738534001442,0.07869738525024868,0.083005876312181,1.6604063078495015,1.041153782953733,0.3237976489731042,0.2910560421172933
