planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
Kepler-142 b,Confirmed,2.024152,0.032,Kepler-142,10.81796395,5790,557.51,12.5117986
Kepler-142 c,Confirmed,4.761702,0.057,Kepler-142,10.81796395,5790,557.51,12.5117986
Kepler-142 d,Confirmed,41.809118,0.242,Kepler-142,10.81796395,5790,557.51,12.5117986
Kepler-143 b,Confirmed,16.007583,0.127,Kepler-143,10.81796395,5848,828.71,27.64519009
Kepler-143 c,Confirmed,27.082511,0.181,Kepler-143,10.81796395,5848,828.71,27.64519009
Kepler-144 b,Confirmed,5.885273,0.066,Kepler-144,10.81796395,6075,389.22,6.098242891
Kepler-144 c,Confirmed,10.104665,0.094,Kepler-144,10.81796395,6075,389.22,6.098242891
Kepler-145 b,Confirmed,22.951,23.20727704,Kepler-145,11.93,6022,576.15,4.798120299
Kepler-145 c,Confirmed,42.882,23.20727704,Kepler-145,11.93,6022,576.15,4.798120299
Kepler-1464 b,Confirmed,31.7785901,23.20727704,Kepler-1464,10.81796395,5828,692,19.27643022
Kepler-1464 c,Confirmed,5.32786292,23.20727704,Kepler-1464,10.81796395,5828,692,19.27643022
Kepler-1468 b,Confirmed,8.23984869,23.20727704,Kepler-1468,15.111,5774.53,1899.24,2.784579983
Kepler-1468 c,Confirmed,3.54553021,23.20727704,Kepler-1468,15.111,5774.53,1899.24,2.784579983
Kepler-1468 d,Confirmed,19.59059906,0.1456,Kepler-1468,15.111,5774.53,1899.24,2.784579983
Kepler-146 b,Confirmed,31.158799,0.2,Kepler-146,10.81796395,6034,716.797,20.68267843
Kepler-146 c,Confirmed,76.732171,0.364,Kepler-146,10.81796395,6034,716.797,20.68267843
Kepler-147 b,Confirmed,12.610584,0.113,Kepler-147,10.81796395,6012,1073.89,46.42308718
Kepler-147 c,Confirmed,33.416423,0.216,Kepler-147,10.81796395,6012,1073.89,46.42308718
Kepler-1488 b,Confirmed,39.8189932,23.20727704,Kepler-1488,13.146,5757.09,905.825,3.869800758
Kepler-1488 c,Confirmed,6.158269882,0.0658,Kepler-1488,13.146,5757.09,905.825,3.869800758
